product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,user_id,user_name
B01NCVJMKX,"SHOPTOSHOP Electric Lint Remover, Best Lint Shaver for Clothes,Lint Remover for Woolen Clothes ,Lint Remover for Sweaters","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",499,999,50%,4.1,"4,859",AGTBYZOGBXCBMYG2AN7LT4WYRZRQ,Jagroop Singh
B00O24PUO6,Orpat OEH-1260 2000-Watt Fan Heater (Grey),"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",1464,1650,11%,4.1,"14,120",AE6PYJAIQ4PNYJNVMWW6NOCP2SPA,Sandeep
B07GXPDLYQ,PRO365 Indo Mocktails/Coffee Foamer/Cappuccino/Lemonade/Milk Frother (6 Months Warranty),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,249,499,50%,3.3,"8,427",AHMFATKIPX3KHDWWE63O3F5UM3DA,iVan
B01C8P29N0,"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",625,1400,55%,4.2,"23,316",AEWW4RY2BE6FRKM6CVAJ2Z4ZTR7Q,Chittibabu M
B08KDBLMQP,"Croma 500W Mixer Grinder with 3 Stainless Steel Leak-proof Jars, 3 speed & Pulse function, 2 years warranty (CRAK4184, White & Purple)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,1290,2500,48%,4,"6,530",AGEWFIJDNQ73TIDHQIEMY6PTF7SQ,Om Shankar
B078JDNZJ8,Havells Instanio 3-Litre Instant Geyser (White/Blue),"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",3600,6190,42%,4.3,"11,924",AF7XWA4GXXWKOYLWWKGKZIP5O7DQ,Amazon Customer
B01M5F614J,"Morphy Richards OFR Room Heater, 09 Fin 2000 Watts Oil Filled Room Heater , ISI Approved (OFR 9 Grey)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",6549,13999,53%,4,"2,961",AHVZAVZYUTJOGQMHGNQVLQSOJNOQ,S Y
B083GKDRKR,"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Black, 1500 Watt)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,1625,2995,46%,4.5,"23,484",AE42ODBABKBHKRL2PW5XSBEB2IWQ,neeraj vashisht
B097R2V1W8,"Bajaj Splendora 3 Litre 3KW IWH Instant Water Heater (Geyser), White","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",2599,5890,56%,4.1,"21,783",AFQCUNSSU6YNN2GEJ2262U55BWYQ,Pranesh
B07YR26BJ3,KENT 16052 Elegant Electric Glass Kettle 1.8L 2000 W | Blue LED Illumination | Borosilicate Glass Body | Boil Drying Protection | Used as Boiler | Milk | Tea | Water & Soup | 1 Year Warranty,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,1199,2000,40%,4,"14,030",AFDP6MHD6SSBGTNIH6VX4FQDKNUQ,manoj tanwar
